DayOfWeek,Hour,Minute,Requests, Requests Length
6,12,56,68.0,340000
6,12,57,46.0,230000
6,12,58,57.0,285000
6,12,59,37.0,185000
6,13,0,73.0,365000
6,13,1,67.0,335000
6,13,2,46.0,230000
6,13,3,66.0,330000
6,13,4,51.0,255000
6,13,5,60.0,300000
6,13,6,52.0,260000
6,13,7,54.0,270000
6,13,8,71.0,355000
6,13,9,46.0,230000
6,13,10,52.0,260000
6,13,11,56.0,280000
6,13,12,55.0,275000
6,13,13,39.0,195000
6,13,14,21.0,105000
6,13,15,50.0,250000
6,13,16,57.0,285000
6,13,17,67.0,335000
6,13,18,50.0,250000
6,13,19,51.0,255000
6,13,20,57.0,285000
6,13,21,49.0,245000
6,13,22,55.0,275000
6,13,23,73.0,365000
6,13,24,63.0,315000
6,13,25,49.0,245000
6,13,26,42.0,210000
6,13,27,48.0,240000
6,13,28,68.0,340000
6,13,29,43.0,215000
6,13,30,57.0,285000
6,13,31,54.0,270000
6,13,32,35.0,175000
6,13,33,30.0,150000
6,13,34,43.0,215000
6,13,35,28.0,140000
6,13,36,37.0,185000
6,13,37,30.0,150000
6,13,38,33.0,165000
6,13,39,40.0,200000
6,13,40,59.0,295000
6,13,41,44.0,220000
6,13,42,24.0,120000
6,13,43,28.0,140000
6,13,44,38.0,190000
6,13,45,43.0,215000
6,13,46,43.0,215000
6,13,47,72.0,360000
6,13,48,59.0,295000
6,13,49,61.0,305000
6,13,50,70.0,350000
6,13,51,69.0,345000
6,13,52,56.0,280000
6,13,53,64.0,320000
6,13,54,58.0,290000
6,13,55,74.0,370000
6,13,56,76.0,380000
6,13,57,54.0,270000
6,13,58,41.0,205000
6,13,59,60.0,300000
6,14,0,48.0,240000
6,14,1,42.0,210000
6,14,2,38.0,190000
6,14,3,64.0,320000
6,14,4,74.0,370000
6,14,5,31.0,155000
6,14,6,52.0,260000
6,14,7,38.0,190000
6,14,8,65.0,325000
6,14,9,75.0,375000
6,14,10,31.0,155000
6,14,11,35.0,175000
6,14,12,46.0,230000
6,14,13,42.0,210000
6,14,14,39.0,195000
6,14,15,72.0,360000
6,14,16,55.0,275000
6,14,17,60.0,300000
6,14,18,46.0,230000
6,14,19,58.0,290000
6,14,20,75.0,375000
6,14,21,41.0,205000
6,14,22,44.0,220000
6,14,23,36.0,180000
6,14,24,44.0,220000
6,14,25,45.0,225000
6,14,26,34.0,170000
6,14,27,45.0,225000
6,14,28,38.0,190000
6,14,29,40.0,200000
6,14,30,44.0,220000
6,14,31,31.0,155000
6,14,32,36.0,180000
6,14,33,33.0,165000
6,14,34,46.0,230000
6,14,35,48.0,240000
6,14,36,49.0,245000
6,14,37,60.0,300000
6,14,38,58.0,290000
6,14,39,52.0,260000
6,14,40,54.0,270000
6,14,41,58.0,290000
6,14,42,69.0,345000
6,14,43,48.0,240000
6,14,44,61.0,305000
6,14,45,76.0,380000
6,14,46,71.0,355000
6,14,47,51.0,255000
6,14,48,67.0,335000
6,14,49,40.0,200000
6,14,50,38.0,190000
6,14,51,57.0,285000
6,14,52,42.0,210000
6,14,53,55.0,275000
6,14,54,68.0,340000
6,14,55,65.0,325000
6,14,56,96.0,480000
6,14,57,69.0,345000
6,14,58,67.0,335000
6,14,59,69.0,345000
6,15,0,50.0,250000
6,15,1,45.0,225000
6,15,2,47.0,235000
6,15,3,51.0,255000
